id,term,short_format,default_duration,snomed_code,snomed_term,last_modified_user_id,last_modified_date,created_user_id,created_date,unbooked
232,"Brow lift - internal","Brow lift - indirect",60,427799006,"Internal browlift",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
234,"Telecanthus - correction with wire","Telecnth wire",90,231574007,"Correction of telecanthus by transnasal wire",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
237,"Insertion of orbital implant","Orb ball implnt",90,4765003,"Insertion of ocular implant following or secondary to enucleation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
238,"Excision of papilloma","Exc papilloma",30,303648002,"Excision of papilloma",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
239,"Operation on eyelid","Opn eyelid",30,40654000,"Operation on eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
240,"Operation for squint","Squint op",40,17639001,"Operation on extraocular muscle",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
241,"Calaniculotomy for canaliculitis",Canltmy,30,19999005,"Slitting of lacrimal canaliculus for removal of streptothrix",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
242,"Canthopexy - Lateral ","Lat cnthpxy",45,60953002,"Lateral canthopexy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
243,"Canthoplasty - Lateral ","Lat cnthplst",60,231592004,"Lateral canthoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
244,"Canthoplasty - Medial","Med cnthplsty",60,27491009,"Medial canthoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
245,"Canthoplasty - Medial Lee",Lee,45,231605001,"Medial Lee tarsorraphy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
246,"Cheek lift","Chk lft",60,234900007,"Cheek operation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
247,"Congenital anomaly - Correction","Corr anmly",60,172234006,"Correction of deformity of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
249,"Ectropion - medial only correction","Ectr med",45,231601005,"Correction of medial ectropion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
250,"Injection into eyelid","Inj lid",15,120103005,"Eyelid injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
252,"Excision of lid lesion - no biopsy","Ex lid lsn",30,172212009,"Excision of lesion of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
253,"Lower lid elevation - specify graft material","LL elvtn",45,231624003,"Insertion of graft into lower eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
254,"Ptosis correction - apo repair - anterior approach","Pt ant",60,172257000,"Correction of ptosis by aponeurotic repair",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
255,"Ptosis correction - apo repair - posterior approach","Pt post",60,172257000,"Correction of ptosis by aponeurotic repair",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
256,"Punctum closure","Punctal occl",30,27374006,"Closure of lacrimal punctum",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
257,"Removal of gold weight","Rmv Gld wt",45,231625002,"Removal of gold weight from upper eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
258,"Revision of scar","Scar rvn",45,284079008,"Revision of scar",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
259,"Tarsorrhaphy - permanent","Tars permnt",60,287411001,"Permanent eyelid closure",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
260,"Tarsorrhaphy - temporary","Tars temp",30,172264003,"Protective suture of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
261,"Tarsorrhaphy - medial pillar","Tars med",45,172244008,"Medial tarsorrhaphy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
262,"Drainage of eyelid abscess","Absc drng",60,172261006,"Drainage of lesion of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
263,"Biopsy of conjunctiva - incisional","Bx cnj",30,303636000,"Conjunctival biopsy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
264,"Biopsy of lid - excisional","Bx exc ld",30,196308007,"Biopsy of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
265,"Blepharophimosis - canthal surgery","Blphmosis canth",90,62553002,"Repair of blepharophimosis",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
266,"Botulinum toxin injection to eyelid","BoTox inj",15,274937009,"Botulinum toxin injection into eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
267,"Blepharospasm - orbicularis muscle stripping",OrbicularisMsSt,45,53707000,"Resection of orbicularis oculi muscle",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
268,Dacrocystectomy,Dctmy,60,55272009,Dacryocystectomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
269,"Dacrocystorhinostomy & retrotubes",CanaliculoDCR,90,265281004,Canaliculodacryocystorhinostomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
270,"Endonasal revision of DCR","Endo rev DCR",45,419020002,"Creation of anastomosis between lacrimal drainage system and nose",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
271,"Lacrimal intubation",LacIntub,60,417917001,"Intubation of lacrimal drainage structure",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
272,Nasendoscopy,Nasedosc,45,172836001,"Examination of nose under anesthetic",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
273,"Removal of stent","Rem stnt",30,103718005,"Removal of stent",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
274,"Full thickness skin graft",FTSG,20,240986006,"Harvest of skin graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
278,"Intravenous steroid injection","IV steroid injection",10,285435007,"Intravenous steroid injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
280,"Entropion correction of lower eyelid","Ent lower lid",60,231607009,"Correction of entropion of lower eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
281,"Entropion Correction of upper eyelid","Ent upper lid",60,231612005,"Correction of entropion of upper eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
282,"MMG to ocular suface",MMG,90,172389006,"Mucosal graft to conjunctiva",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
283,"Anterior orbitotomy - lower lid approach","Ant Orb LL",90,231552001,"Anterior orbitotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
284,"Anterior orbitotomy - upper lid approach","Ant Orb UL",90,231552001,"Anterior orbitotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
285,"Decompression of orbit - medial wall for neuropathy","Decmp med only",60,83639008,"Decompression of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
286,"Decompression of orbit 2(+) walls balanced approach","Decmp 2+ balanced",90,83639008,"Decompression of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
287,"Decompression of orbit lateral wall","Decmp lat",60,83639008,"Decompression of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
288,"Dermolipoma excision (microscope)",Drmlpm,60,231552001,"Anterior orbitotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
289,"Exploration of orbit","Orb explrn",60,36895007,"Exploration of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
290,"Drainage of orbital abscess","Orb absc",60,172172005,"Drainage of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
291,"Orbital fat prolapse - trans conjunctival reduction","Deblk ft",60,231552001,"Anterior orbitotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
292,"Removal of orbital foreign body","Orb FB",90,172173000,"Removal of foreign body from orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
293,"Dermis fat graft to socket",DFGsock,90,231546002,"Reconstruction of orbital cavity with dermofat graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
294,"Enucleation no implant","Enuc no implnt",60,205336009,"Enucleation of eye without implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
295,"Evisceration no implant","Evisc no ball",60,373356002,"Evisceration of eye proper",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
296,"Moulding of socket",Mld,45,6444006,"Enlargement of eye socket",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
297,"Reconstruction of eye socket with MMG","Frnx recon",60,16938001,"Reconstruction of eye socket",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
300,"Insertion of socket expander","Sckt exp",60,76790002,"Insertion of tissue expander",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
301,"Inferior rectus Faden","IR Faden",45,231679006,"Inferior rectus Faden",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
302,"Lateral rectus Faden","LR Faden",45,231666002,"Lateral rectus Faden",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
303,"Medial rectus Faden","MR Faden",45,231654008,"Medial rectus Faden",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
304,"Superior oblique Faden","SO Faden",45,231689005,"Superior oblique Faden",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
305,"Superior rectus Faden","SR Faden",45,231672002,"Superior rectus Faden",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
306,"Superior oblique disinsertion","SO disinsertion",40,231684000,"Superior oblique disinsertion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
307,"Lateral rectus vertical transposition","LR vert trans",90,231665003,"Lateral rectus vertical transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
308,"Phakoemulsification and IOL",Phako/IOL,30,415089008,"Phacoemulsification of cataract with intraocular lens implantation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
310,"Femtosecond astigmatic keratotomy",FSAK,30,313275006,"Astigmatic keratotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
311,"IntraLASIK Eye Surgery",IntraLASIK,20,312965008,"Laser assisted in situ keratomileusis",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
312,"Biopsy of temporal artery",TempArtryBiopsy,40,72821000,"Biopsy of temporal artery",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
313,"Combined operation on eye muscles","Squint opn",60,172318005,"Combined operation on eye muscles",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
314,"Decompression of optic nerve",ONSD-opticdecom,60,171652004,"Decompression of optic nerve",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
315,"Inferior rectus horizontal transposition","IR transposition",25,231678003,"Inferior rectus horizontal transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
316,"Inferior oblique anterior transposition","IO ant trans",40,231695006,"Inferior oblique anterior transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
317,"Inferior oblique disinsertion","IO -",40,231694005,"Inferior oblique disinsertion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
318,"Other extraction of lens","Other extract lens",30,75170007,"Extraction of lens of eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
319,"Superior rectus horizontal transposition","SR transposition",25,231671009,"Superior rectus horizontal transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
320,"Superior oblique anterior transposition","SO ant transposition",0,231685004,"Superior oblique anterior transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
321,"Biopsy of choroid","Chor biopsy",30,231787003,"Biopsy of lesion of choroid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
322,"Revision of IOL","Revision IOL",45,172542008,"Revision of intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
323,"Extracapsular cataract extraction and insertion of IOL",ECCE/IOL,30,308694002,"Extracapsular cataract extraction and insertion of intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
324,"Injection into anterior chamber of eye","Inj AC",40,4143006,"Injection into anterior chamber of eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
325,"Biopsy of iris","Biopsy Iris",30,25302008,"Biopsy of iris",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
326,"Retrobulbar steroid injection","Retro steroid",15,410565007,"Retrobulbar steroid injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
327,"Periocular steroid injection","Periocular steroid",15,410563000,"Periocular steroid injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
328,"Radioactive plaque",Plaque,45,429057009,"Plaque radiotherapy of lesion of retina",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
329,"Cryotherapy of ciliary body",CycloCryo,30,71091006,"Cryotherapy of ciliary body",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
330,"Three snip procedure","Three snip",30,172311004,"Three snip procedure to eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
331,"Lateral canthal sling","Lat canth sling",40,231590007,"Lateral canthal sling",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
332,"Tarsoconjunctival diamond excision","Tarsoconj diamond",40,231603008,"Tarsoconjunctival diamond excision",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
333,"Drainage of suprachoroidal fluid","Drain Supra",60,231788008,"Drainage of suprachoroidal fluid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
334,"Repair orbital floor","Repair Orbit",60,239385005,"Repair orbital floor",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
335,"Redo external DCR",RedoDCR,90,265281004,Canaliculodacryocystorhinostomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
336,"Other procedure on eyelid","Lid - other",60,118912008,"Procedure on eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
337,"Other procedure on orbit","Orbit - other",60,172189002,"Orbit operations NOS",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
338,"Removal of aqueous shunt",RemAqueousShunt,90,440587008,"Revision of aqueous shunt to extraocular reservoir",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
339,"Limbal relaxing incision","Limbal Rel Incn",10,397313004,"Limbal relaxing incision",1,"2013-10-09 09:48:20",1,"2013-10-09 09:48:20",0
340,"Fluorescein angiography",FFA,15,172581008,"Fluorescein angiography of eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
341,"Intracapsular cataract extraction",ICCE,30,260216002,"Intra-capsular cataract extraction",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
342,"Removal of eyelash",Epilation,5,398072007,"Removal of eyelash",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
343,"Removal of foreign body from conjunctiva","Conj FB removal",5,78362007,"Removal of foreign body from conjunctiva",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
344,"Excision of lesion of cornea","Excision of corneal lesion",10,75588007,"Excision of lesion of cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
345,"Adjustment to corneal suture","Adjust corneal suture",5,172421008,"Adjustment to corneal suture",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
346,"Insertion of bandage contact lens","Bandage lens",10,428497007,"Insertion of therapeutic contact lens into cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
347,"Removal of releasable suture following glaucoma surgery","Removal of releasable suture",10,426877004,"Removal of releasable suture following glaucoma surgery",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
348,"Reformation of anterior chamber","Reform AC",10,172517004,"Reformation of anterior chamber",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
349,"Topical local anaesthetic to eye","Topical anaesthetic",0,231346001,"Topical local anesthetic to eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
350,"Conjunctival swab","Conj swab",5,312855001,"Taking conjunctival swab",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
351,"Indocyanine green angiography","ICG angiogram",30,252823001,"Indocyanine green angiography",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
352,"B scan ultrasound of eye","B scan",20,241452002,"Orbital B scan",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
353,"Scanning laser ophthalmoscopy",SLO,20,252846004,"Scanning laser ophthalmoscopy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
354,"Optical coherence tomography",OCT,15,392010000,"Optical coherence tomography",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
355,"Insertion of sustained release device into posterior segment of eye","Insertion slow release",80,428618008,"Insertion of sustained release device into posterior segment of eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
356,"Dexamethasone 700microgram intravitreal implant",Ozurdex,30,419222003,"Implantation of intravitreal device",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
357,Trabectome,Trabectome,20,11000163100,Trabectome,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0
